"ID","Title","Created By","Created On","Estimate","Forecast","Priority","References","Section","Section Depth","Section Description","Suite","Suite ID","Type","Updated By","Updated On"
"C1","Formularz logowania. happy path","michal cichy","9/26/2022 5:46 PM","","","Medium","","Test Cases","0","","Master","S1","Functional","michal cichy","9/27/2022 4:25 PM"
"C2","Formularz logowania. niepoprawne hasło","michal cichy","9/27/2022 9:23 AM","","","Medium","","Test Cases","0","","Master","S1","Functional","michal cichy","9/27/2022 12:59 PM"
"C3","Formularz logowania. brak danych","michal cichy","9/27/2022 9:24 AM","","","Medium","","Test Cases","0","","Master","S1","Functional","michal cichy","9/27/2022 1:00 PM"
"C5","Formularz logowania. znaki specjalne w polu e-mail","michal cichy","9/27/2022 9:25 AM","","","Medium","","Test Cases","0","","Master","S1","Functional","michal cichy","9/27/2022 1:00 PM"
"C7","Formularz logowania. spacja w polu hasło","michal cichy","9/27/2022 9:29 AM","","","Medium","","Test Cases","0","","Master","S1","Functional","michal cichy","9/27/2022 1:00 PM"
"C8","Formularz rejestracji. happy path","michal cichy","9/27/2022 11:37 AM","","","Medium","","Test Cases","0","","Master","S1","Functional","michal cichy","9/27/2022 4:25 PM"
"C9","Formularz rejestracji. znak specjany w adresie email","michal cichy","9/27/2022 11:51 AM","","","Medium","","Test Cases","0","","Master","S1","Functional","michal cichy","9/27/2022 4:26 PM"
"C10","Formularz rejestracji. znaki specjalne w nazwie użytkownika","michal cichy","9/27/2022 12:01 PM","","","Medium","","Test Cases","0","","Master","S1","Functional","michal cichy","9/27/2022 1:01 PM"
"C12","Formularz rejestracji. hasła różniące się","michal cichy","9/27/2022 12:01 PM","","","Medium","","Test Cases","0","","Master","S1","Functional","michal cichy","9/27/2022 1:01 PM"
"C13","Formularz rejestracji. checkbox Regulamin","michal cichy","9/27/2022 12:01 PM","","","Medium","","Test Cases","0","","Master","S1","Functional","michal cichy","9/27/2022 1:01 PM"
"C14","Formularz rejestracji. checkbox RODO","michal cichy","9/27/2022 12:01 PM","","","Medium","","Test Cases","0","","Master","S1","Functional","michal cichy","9/27/2022 1:02 PM"
